;experiment;dataset;range;frequency;connection_type;limit;threshold_hold_off;power_experiment_mean;power_experiment_std;power_background_mean;power_background_std;power_difference_mean;power_difference_std;execution_time_mean;execution_time_median;execution_time_std
20221024-082511;20221024-082511;2022.06.08;experiment;39.0;remote;;60;0.04395066794245057;0.004527137516627149;0.03647778826647177;0.0007610890250123905;0.0074728796759787955;0.004590667772606436;0.02202815003233456;5e-06;0.12943470578734137
20221021-102531;20221021-102531;2022.05.30;experiment;78.0;remote;;60;0.04912156762321075;0.0034508156095533894;0.03683762116637374;0.0004922798009337151;0.01228394645683701;0.0034857521101685743;0.011143499818115677;3e-06;0.06606433986736489
20221024-130021;20221024-130021;2022.07.20;experiment;146.0;remote;;60;0.06397709059032644;0.002913581963756705;0.03665542994213214;0.000661826636269692;0.0273216606481943;0.0029878042700291515;0.006044625484120837;1.0000000000000002e-06;0.031117882778141696
20221024-093322;20221024-093322;2022.05.20;experiment;39.0;remote;;60;0.04419234549438477;0.004690297738149422;0.03665268460991162;0.0011004457805419085;0.007539660884473151;0.004817662689354878;0.021831862458471765;5e-06;0.12661020298177564
20221021-084929;20221021-084929;2022.05.20;experiment;298.0;remote;;60;0.09636687562077333;0.012106901583491397;0.03616927370421867;0.0036620517405041683;0.060197601916554655;0.012648623992453728;0.0029666073089700995;1.0000000000000002e-06;0.017205184212534645
20221024-131412;20221024-131412;2022.06.03;experiment;298.0;remote;;60;0.10014050290202743;0.013092540785416348;0.03614225851339816;0.00212843466963057;0.06399824438862928;0.013264420769889498;0.0029601891625615764;1.0000000000000002e-06;0.01783285962464778
20221024-121422;20221024-121422;2022.06.22;experiment;78.0;remote;;60;0.05008981139584358;0.003265036171823188;0.03699672969185629;0.0006073136567075241;0.013093081703987292;0.0033210376512375285;0.011139851498335181;3e-06;0.05833928864464305
20221024-115905;20221024-115905;2022.06.08;experiment;78.0;remote;;60;0.04938311443517214;0.003277967331148853;0.03699269116510331;0.0009096667321860355;0.012390423270068833;0.003401847055310564;0.011138007329165768;3e-06;0.0654500765004123
20221021-103236;20221021-103236;2022.04.06;experiment;39.0;remote;;60;0.045313348048253106;0.00381103696939665;0.03692760705185061;0.0005264254488381562;0.008385740996402498;0.003847223224000975;0.022049419878296145;5e-06;0.09339032606615899
20221021-092909;20221021-092909;2022.05.20;experiment;146.0;remote;;60;0.0626836264514927;0.004226609299256088;0.036590858675899084;0.000724221311667201;0.026092767775593613;0.004288207396667167;0.005990250830564785;1.0000000000000002e-06;0.03474178404159315
20221021-083542;20221021-083542;2022.05.18;experiment;298.0;remote;;60;0.09729480125683723;0.010199934581939957;0.03599820161507736;0.0026448576684926705;0.061296599641759875;0.010537264235200669;0.002988398589065256;1.0000000000000002e-06;0.013034499961086583
20221024-125401;20221024-125401;2022.06.22;experiment;146.0;remote;;60;0.06396337223200393;0.0031253914676226294;0.036695449662387476;0.0008937071341635155;0.027267922569616458;0.0032506590512606974;0.0060448312985571595;1.0000000000000002e-06;0.03165708044275282
20221024-133115;20221024-133115;2022.06.22;experiment;298.0;remote;;60;0.0990975486228004;0.011741894596629533;0.03641446333729686;0.002920854884786312;0.06268308528550354;0.012099730657181503;0.0029936253052164265;1.0000000000000002e-06;0.015677613834872914
20221024-111604;20221024-111604;2022.06.03;experiment;78.0;remote;;60;0.04961616186642142;0.0035393527657097638;0.03673615899542386;0.0006054221371589461;0.01288000287099756;0.0035907595247105396;0.011015339162561576;3e-06;0.06635943000267457
20221024-110806;20221024-110806;2022.06.01;experiment;78.0;remote;;60;0.049905123844502706;0.0036789644369137585;0.036795622988788905;0.0007760585323811973;0.013109500855713802;0.003759926352172051;0.011151780255422662;3e-06;0.06882185789026274
20221021-095246;20221021-095246;2022.04.06;experiment;146.0;remote;;60;0.06396572137475971;0.003406479718790965;0.03652897001105534;0.0009046514650500629;0.027436751363704374;0.003524556475324434;0.006049189317106155;1.0000000000000002e-06;0.025621469424298403
20221021-101125;20221021-101125;2022.05.20;experiment;78.0;remote;;60;0.04946940219331898;0.0034658883179813993;0.03686298122650604;0.0010779195836291477;0.012606420966812942;0.0036296408171458466;0.011038685714285715;3e-06;0.0640219923767131
20221024-132543;20221024-132543;2022.06.15;experiment;298.0;remote;;60;0.09881791427341224;0.009953913079892551;0.03632545580187018;0.0035279469187380415;0.06249245847154206;0.010560624747783118;0.0029942592592592594;1.0000000000000002e-06;0.018692680565349788
20221024-130708;20221024-130708;2022.06.01;experiment;298.0;remote;;60;0.10118124780065849;0.009866121543296351;0.036317143223428154;0.0026237278780158217;0.06486410457723032;0.01020903042825193;0.002996819582404217;1.0000000000000002e-06;0.018494345957882907
20221024-123531;20221024-123531;2022.06.03;experiment;146.0;remote;;60;0.06354399577492736;0.0031697326321170997;0.036653651966403064;0.0006919704500873273;0.0268903438085243;0.003244384080669558;0.005977377832512316;1.0000000000000002e-06;0.03600976223361944
20221024-080717;20221024-080717;2022.06.01;experiment;39.0;remote;;60;0.04327322118636312;0.0043026273031600325;0.03618189229908453;0.0006760714754392566;0.007091328887278592;0.004355418963750879;0.022054561727143727;5e-06;0.13609776545834526
20221024-083450;20221024-083450;2022.06.15;experiment;39.0;remote;;60;0.0436760813541795;0.004546962773279702;0.03649359571340535;0.0009812249388293944;0.007182485640774144;0.004651631202295834;0.02203549114331723;5e-06;0.13755705699632081
20221021-085604;20221021-085604;2022.05.30;experiment;298.0;remote;;60;0.09967848163704171;0.012312238893710761;0.03633370531665833;0.004550479132044294;0.06334477632038338;0.013126236585822099;0.002994692979265187;1.0000000000000002e-06;0.017754280060369235
20221024-122135;20221024-122135;2022.07.20;experiment;78.0;remote;;60;0.049564237454402645;0.0031340774237767943;0.03689661206799186;0.0006197660196237705;0.012667625386410787;0.0031947693527557947;0.011139145623547637;3e-06;0.05734452685305609
20221021-104013;20221021-104013;2022.05.18;experiment;39.0;remote;;60;0.04456348746183255;0.0038653739412958816;0.03696217346572044;0.00042186005834274185;0.007601313996112108;0.003888326325666893;0.021995360846560848;5e-06;0.09593796273208763
20221021-094646;20221021-094646;2022.05.18;experiment;146.0;remote;;60;0.06392219238129587;0.0033368089176001093;0.03664364861469522;0.00160008857644849;0.027278543766600653;0.003700618489530712;0.00603436684303351;1.0000000000000002e-06;0.02632069287104512
20221021-090358;20221021-090358;2022.05.30;experiment;146.0;remote;;60;0.0635395096033896;0.0026151676585398254;0.03649121597519449;0.0009674091902067003;0.027048293628195108;0.0027883655469771278;0.006047014005092762;1.0000000000000002e-06;0.03585050397620137
20221024-133724;20221024-133724;2022.07.20;experiment;298.0;remote;;60;0.09857965851801297;0.01122085633112668;0.03622782822074736;0.00262260644535033;0.062351830297265605;0.011523266957377095;0.002993559837335399;1.0000000000000002e-06;0.015410758062814448
20221024-124202;20221024-124202;2022.06.08;experiment;146.0;remote;;60;0.06347079479891027;0.0028018463076868636;0.036695751885358154;0.000840474360103831;0.026775042913552115;0.002925190571892788;0.0060437975856865705;1.0000000000000002e-06;0.035514661356618904
20221021-100548;20221021-100548;2022.05.18;experiment;78.0;remote;;60;0.048807780100694975;0.002321348968836857;0.03681607012844642;0.000829532801258489;0.011991709972248556;0.0024651137303345044;0.011120383068783069;3e-06;0.04850409604352286
20221021-095921;20221021-095921;2022.04.06;experiment;78.0;remote;;60;0.04894499954980509;0.002782831648615017;0.03678816867952556;0.00044880750894252757;0.012156830870279536;0.0028187905499729086;0.011147722109533468;3e-06;0.04721710347687459
20221024-122914;20221024-122914;2022.06.01;experiment;146.0;remote;;60;0.06292660249868466;0.003906128153982906;0.036601054221423616;0.0006244417206893045;0.026325548277261045;0.003955725548856407;0.006051243462396107;1.0000000000000002e-06;0.037345217946464004
20221024-120723;20221024-120723;2022.06.15;experiment;78.0;remote;;60;0.05023381824173007;0.0039393468808700625;0.036844277481791664;0.0005703061798302074;0.01338954075993841;0.003980414926433325;0.011142209876543208;3e-06;0.0695599580316419
20221024-094012;20221024-094012;2022.05.30;experiment;39.0;remote;;60;0.04418468766853331;0.004463827854068691;0.03656368386890866;0.0009822767254029953;0.007621003799624652;0.004570626508043282;0.02203912841033103;5e-06;0.13065258663191004
20221024-085548;20221024-085548;2022.07.20;experiment;39.0;remote;;60;0.043636413306742325;0.003847225705431556;0.036595353392106206;0.0007777009845285401;0.007041059914636119;0.003925043241783457;0.022031429318357866;5e-06;0.11341429452501846
20221021-082905;20221021-082905;2022.04.06;experiment;298.0;remote;;60;0.09927101685190025;0.009114000514096332;0.03612403621315963;0.0030313056938657567;0.06314698063874062;0.00960488519351539;0.0029957849898580124;1.0000000000000002e-06;0.012688892819570924
20221024-124804;20221024-124804;2022.06.15;experiment;146.0;remote;;60;0.06314569828601058;0.003016473990453519;0.03664841079635273;0.0008210218273602167;0.026497287489657843;0.0031262105137185637;0.0060461277509393455;1.0000000000000002e-06;0.037745722993440776
20221024-132015;20221024-132015;2022.06.08;experiment;298.0;remote;;60;0.10082675084455751;0.0115025638900986;0.03686603557600602;0.007996231044590716;0.06396071526855149;0.014008878861788926;0.002993175037723648;1.0000000000000002e-06;0.017588473291889627
20221024-094902;20221024-094902;2022.06.03;experiment;39.0;remote;;60;0.043564681437139895;0.003917603269885093;0.036675024028325336;0.0011386481425231013;0.006889657408814559;0.004079722413680333;0.021784920935960593;5e-06;0.13123043841127366
20221024-084330;20221024-084330;2022.06.22;experiment;39.0;remote;;60;0.04363105948118683;0.0035800731605862886;0.036598492240398274;0.0010351375255558235;0.007032567240788559;0.003726718869456634;0.022032755604883467;5e-06;0.11538049060010049
